timestamp,total_load_kw,irradiance
59:01.0,35.71663231,0.6
58:01.0,36.57445282,0.6
57:01.0,35.61872283,0.7
56:01.0,34.84556857,0.5
55:01.0,34.92521864,0.5
54:01.0,34.96955439,0.6
53:01.0,34.9684588,0.6
52:01.0,35.77570125,0.6
51:01.0,37.86731502,0.6
50:01.0,37.95698726,0.6
49:01.0,36.80715421,0.5
48:01.0,37.52713215,0.6
47:01.0,38.76973236,0.6
46:01.0,37.84905347,0.6
45:01.0,37.39378658,0.6
44:01.0,36.54240918,0.5
43:01.0,37.01120505,0.6
42:01.0,38.24791306,0.6
41:01.0,36.85892433,0.6
40:01.0,36.92422709,0.6
39:01.0,37.56920323,0.5
38:01.0,37.38078243,0.5
37:01.0,37.5779196,0.5
36:01.0,37.58759746,0.6
35:01.0,37.63843936,0.6
34:01.0,37.7366606,0.7
33:01.0,37.98096845,0.6
32:01.0,35.94635099,0.5
31:01.0,35.93243712,0.6
30:01.0,36.00437871,0.6
29:01.0,37.69101423,0.6
28:01.0,37.52263212,0.6
27:01.0,35.48584825,0.5
26:01.0,35.51422057,0.5
25:01.0,35.57530922,0.6
24:01.0,35.70856199,0.6
23:01.0,34.91709906,0.6
22:01.0,34.96139538,0.5
21:01.0,34.99730042,0.6
20:01.0,35.53091213,0.6
19:01.0,36.72439045,0.6
18:01.0,35.55931279,0.5
17:01.0,34.36585978,0.5
16:01.0,34.41700619,0.5
15:01.0,36.12284446,0.5
14:01.0,36.12626892,0.5
13:01.0,36.09635496,0.6
12:01.0,36.93114334,0.6
11:01.0,36.76064765,0.6
10:01.0,37.72310489,0.5
09:01.0,38.10023117,0.6
08:01.0,39.21444529,0.6
07:01.0,38.13675016,0.5
06:01.0,36.89925903,0.6
05:01.0,36.78338939,0.6
04:01.0,36.91932428,0.6
03:01.0,35.49574006,0.6
02:01.0,35.66419682,0.6
01:01.0,36.01544014,0.6
00:01.0,36.16205209,0.6
59:01.0,35.43290743,0.7
58:01.0,35.46371403,0.5
57:01.0,35.57408273,0.6
56:01.0,35.45108119,0.6
55:01.0,35.36134905,0.5
54:01.0,35.35971406,0.6
53:01.0,37.66197842,0.6
52:01.0,36.54539949,0.7
51:01.0,35.3811518,0.6
50:01.0,35.71751994,0.6
49:01.0,34.7660307,0.6
48:01.0,34.82823864,0.6
47:01.0,35.60556024,0.6
46:01.0,35.61669874,0.6
45:01.0,36.89762476,0.6
44:01.0,35.6039789,0.6
43:01.0,35.95104969,0.7
42:01.0,35.24829429,0.7
41:01.0,35.53287613,0.6
40:01.0,34.78115603,0.6
39:01.0,34.87218198,0.6
38:01.0,34.91036636,0.6
37:01.0,35.3025147,0.6
36:01.0,35.25733271,0.6
35:01.0,35.39368173,0.6
34:01.0,35.76515114,0.6
33:01.0,35.79384345,0.6
32:01.0,37.28017509,0.5
31:01.0,37.99215764,0.6
30:01.0,37.11012957,0.6
29:01.0,37.25468266,0.6
28:01.0,38.61848626,0.7
27:01.0,37.87096229,0.5
26:01.0,37.87555361,0.6
25:01.0,36.64329958,0.6
24:01.0,36.84558266,0.7
23:01.0,37.84109053,0.6
22:01.0,37.96962386,0.5
21:01.0,37.23495421,0.6
20:01.0,37.33185911,0.5
19:01.0,37.65770459,0.6
18:01.0,36.64913392,0.6
17:01.0,36.15065673,0.6
16:01.0,34.92029572,0.7
15:01.0,34.98935911,0.5
14:01.0,35.60503265,0.6
13:01.0,35.66386235,0.7
12:01.0,36.22046041,0.6
11:01.0,35.34499177,0.5
10:01.0,35.02674061,0.6
09:01.0,35.04824898,0.6
08:01.0,35.06665269,0.5
07:01.0,35.1639179,0.7
06:01.0,35.21242565,0.6
05:01.0,35.26605821,0.6
